,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
193,0.09744267463684082,0.002187604006801043,0.02394556999206543,0.00033837854493427735,10,ovo,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192,0.09490718841552734,0.0022017690179872056,0.023206329345703124,0.0005468582703634398,10,ovo,3,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
191,0.10008378028869629,0.0023054359626075633,0.024200439453125,0.00046369718017289397,1,ovr,20,scale,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180,0.097603178024292,0.00156896345768143,0.023600435256958006,0.0005325128916080639,1,ovr,10,scale,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
190,0.10106134414672852,0.0016933279467457587,0.036182832717895505,0.0005505929748265289,1,ovr,20,scale,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
188,0.09392170906066895,0.0005798760080480846,0.023080158233642577,0.00030120499256428945,1,ovr,20,scale,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
187,0.09624872207641602,0.0006502026648762286,0.023603153228759766,0.0001615790274296152,1,ovr,20,auto,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
186,0.09715375900268555,0.0003769753039442293,0.035123586654663086,0.0003650698417505235,1,ovr,20,auto,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
185,0.09446496963500976,0.0016403044198111296,0.02314596176147461,0.00028762283781905016,1,ovr,20,auto,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
184,0.09386677742004394,0.0004863428451870339,0.02290763854980469,0.0002192561653488959,1,ovr,20,auto,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
183,0.0962608814239502,0.0006346958471938835,0.023443269729614257,0.00020451558500656362,1,ovr,10,scale,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
182,0.09898805618286133,0.001006896754579173,0.03545851707458496,0.0003396150401677537,1,ovr,10,scale,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
189,0.09610190391540527,0.0013643542100526744,0.023447275161743164,0.0005278211070212457,1,ovr,20,scale,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
161,0.09450707435607911,0.0014497049228696687,0.023251152038574217,0.00031684408665512697,1,ovr,3,auto,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
239,0.09791264533996583,0.0014685943948724125,0.023541355133056642,0.00025032745513965215,10,ovr,5,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
241,0.09545159339904785,0.0012987015985253467,0.023297643661499022,0.0005635423168937929,10,ovr,10,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
297,0.09630074501037597,0.0006225466690545947,0.023447275161743164,0.0003746755670059551,50,ovr,5,auto,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
296,0.09419126510620117,0.0006115595664915894,0.0232698917388916,0.0001440599159296939,50,ovr,5,auto,linear,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
295,0.09840874671936035,0.0007547314521637583,0.023609209060668945,0.0002757333863834943,50,ovr,3,scale,sigmoid,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
294,0.09809446334838867,0.0005384065675147265,0.035225534439086915,0.0002690060927044761,50,ovr,3,scale,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
293,0.0958632469177246,0.00036854319805064217,0.02327122688293457,0.00010605705265151884,50,ovr,3,scale,poly,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
292,0.0948866367340088,0.0011928645649984856,0.023217535018920897,0.00023110145927575607,50,ovr,3,scale,linear,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
291,0.09823946952819824,0.001886281031019971,0.023958349227905275,0.00020761533674930726,50,ovr,3,auto,sigmoid,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
298,0.09975175857543946,0.0005722488227278016,0.03571033477783203,0.0003755602574916844,50,ovr,5,auto,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
