,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
199,0.05831809043884277,0.004073827881777079,0.01269998550415039,0.0007415545694618668,10,ovo,3,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
255,0.05656876564025879,0.0042759620783797605,0.01226654052734375,0.0007440034818696979,10,ovr,20,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
231,0.05648198127746582,0.004207405722868636,0.012219524383544922,0.000769428398318827,10,ovr,3,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
239,0.05743927955627441,0.004456922035755462,0.012473440170288086,0.0007054624961271651,10,ovr,5,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
215,0.05886774063110352,0.004758377601257474,0.012589406967163087,0.0007983467164822864,10,ovo,10,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
287,0.04829554557800293,0.005367188438506013,0.009786367416381836,0.0005336224324091164,50,ovo,20,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
279,0.04829564094543457,0.0053381062603397025,0.00979757308959961,0.0005266732789221857,50,ovo,10,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
319,0.04853963851928711,0.005558635291407713,0.009937000274658204,0.0005443447647242052,50,ovr,20,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
295,0.04873042106628418,0.0054777830605534875,0.009858465194702149,0.0005066821158926049,50,ovr,3,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
263,0.05020341873168945,0.005124241697430524,0.010391044616699218,0.0007249032644884115,50,ovo,3,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
271,0.04882349967956543,0.005623906565275882,0.009827041625976562,0.0005567150217549076,50,ovo,5,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
311,0.048381710052490236,0.005354074574064947,0.009794473648071289,0.0005277285031851703,50,ovr,10,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
303,0.048705530166625974,0.005339803900399184,0.009927845001220703,0.000505974301512379,50,ovr,5,scale,sigmoid,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5882352941176471,0.6,0.5142857142857143,0.5473684210526315,0.58,0.5659778858911986,0.03120227216194366,183
14,0.07837610244750977,0.0016825465409284082,0.028786611557006837,0.0006436036020831571,0.1,ovo,5,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
62,0.08115992546081544,0.0013745546041125422,0.029802608489990234,0.0006701616298107736,0.1,ovr,20,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
38,0.07924098968505859,0.00240000405653436,0.029088640213012697,0.0006642520057324222,0.1,ovr,3,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
30,0.08090019226074219,0.001563154383379082,0.02962942123413086,0.000770976580139926,0.1,ovo,20,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
46,0.07991938591003418,0.0026285848980092505,0.029416561126708984,0.001070703888378034,0.1,ovr,5,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
22,0.07935104370117188,0.0010655853590068637,0.02902216911315918,0.0007023050625712855,0.1,ovo,10,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
54,0.08005342483520508,0.0022503723263059302,0.029168033599853517,0.0008820351398623408,0.1,ovr,10,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
6,0.07909255027770996,0.002150236727508838,0.028932809829711914,0.0006968784933273029,0.1,ovo,3,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.5454545454545454,0.5647058823529412,0.5060240963855422,0.5142857142857143,0.6666666666666666,0.559427381029082,0.05764208181765589,191
165,0.0880277156829834,0.001401048582627955,0.021756839752197266,0.0005425678440607225,1,ovr,3,scale,poly,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.5714285714285714,0.4533333333333334,0.44155844155844154,0.5142857142857143,0.4857142857142858,0.49326406926406924,0.04664018395781096,199
133,0.0879014015197754,0.00139651917626741,0.021448326110839844,0.00022609355415911288,1,ovo,3,scale,poly,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.5714285714285714,0.4533333333333334,0.44155844155844154,0.5142857142857143,0.4857142857142858,0.49326406926406924,0.04664018395781096,199
93,0.0923649787902832,0.0007627300094175875,0.022856760025024413,0.00030862786950946336,0.5,ovo,20,scale,poly,"{'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.0,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.46339778087834693,0.23172993726761074,201
125,0.09399857521057128,0.0010656364407458994,0.023750686645507814,0.0007952451416442206,0.5,ovr,20,scale,poly,"{'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.0,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.46339778087834693,0.23172993726761074,201
59,0.05473198890686035,0.005604658249908365,0.013114309310913086,0.000532611109869906,0.1,ovr,20,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.41304347826086957,0.45161290322580644,0.4464285714285714,0.48484848484848486,0.4081632653061225,0.44081934061397093,0.028015880461556116,203
