,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,0.00516204833984375,8.517537023507305e-05,0.0,0.0,linear,0.01,"(50, 10)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",,,,,,,,28
41,0.005250120162963867,4.3466159094327976e-05,0.0,0.0,linear,0.0001,"(50,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
46,0.00525507926940918,5.648449626997141e-05,0.0,0.0,linear,0.01,"(100,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
40,0.005306768417358399,5.6362353807014184e-05,0.0,0.0,linear,0.0001,"(50,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
33,0.007412624359130859,0.0029209503011114915,0.0,0.0,linear,1e-06,"(50, 10)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",,,,,,,,28
38,0.005316638946533203,5.6707266372829756e-05,0.0,0.0,linear,0.0001,"(100,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
37,0.005284833908081055,4.833689593950549e-05,0.0,0.0,linear,0.0001,"(100,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
36,0.00526118278503418,7.681134733794976e-05,0.0,0.0,linear,0.0001,"(100,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
35,0.0051444053649902345,4.987643735509114e-05,0.0,0.0,linear,1e-06,"(50, 10)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
34,0.005169582366943359,4.455210805445974e-05,0.0,0.0,linear,1e-06,"(50, 10)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
32,0.007402467727661133,0.0018544580755288857,0.0,0.0,linear,1e-06,"(50,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
31,0.006554269790649414,0.00142747001456915,0.0,0.0,linear,1e-06,"(50,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
30,0.006859254837036133,0.0013975562782056127,0.0,0.0,linear,1e-06,"(50,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
29,0.00821218490600586,0.001362896551153831,0.0,0.0,linear,1e-06,"(100,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
28,0.006765174865722656,0.0014084550098371431,0.0,0.0,linear,1e-06,"(100,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
27,0.006506967544555664,0.0009999543683473094,0.0,0.0,linear,1e-06,"(100,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
52,0.005135536193847656,5.362817737513377e-05,0.0,0.0,linear,0.01,"(50, 10)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
39,0.005301189422607422,4.449644464416897e-05,0.0,0.0,linear,0.0001,"(50,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
53,0.0052146434783935545,7.009366741219866e-05,0.0,0.0,linear,0.01,"(50, 10)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
