strain_slug,strain_category,strain_popularity
black-cherry-soda,Hybrid,0.0364866840846325
sour-power,Hybrid,0.0086105815522221
freezeland,Indica,0.0037521278151304
headbanger,Hybrid,0.0288113755686818
strawberry,Sativa,0.0401836335495405
bc-big-bud,Hybrid,0.0093196233525813
jean-guy,Hybrid,0.0255558529055539
xxx-420,Indica,0.001785019629698
flowerbomb-kush,Indica,0.0040997514215322
erez,Indica,0.0021216075660553
alaska,Sativa,0.0108922063339228
el-na,Hybrid,0.0002538204110235
eran-almog,Indica,0.0044832409555786
midnight,Hybrid,0.0204959981901501
rafael,Sativa,0.0005986850999141
avi-dekel,Hybrid,0.0033824328686396
little-devil,Hybrid,0.0011146026744946
dorit,Indica,0.0
gog-magog,Indica,0.0012718609726287
or,Hybrid,0.0017739839596535
jasmin,Hybrid,0.0010677010768055
blue-god,Indica,0.0184571581494284
dr-grinspoon,Sativa,0.0105087167998764
dreadlock,Hybrid,0.0003503825239129
edi-pure-dried-pineapples-63984,Edible,0.0
lowryder,Hybrid,0.0077801473813734
endless-sky,Indica,0.0069028116128355
lethal-purple,Hybrid,0.0003641771114685
gods-treat,Indica,0.0018374390624094
manitoba-poison,Hybrid,0.0005628191722695
sapphire-star,Hybrid,0.0036059051870408
blue-venom,Hybrid,0.0050488190453593
critical-bilbo,Hybrid,0.0082270920181757
pennywise,Indica,0.0345416472392891
thai,Sativa,0.0335236066776839
sour-cream,Hybrid,0.004579803068468
blue-diamond,Indica,0.0143022283776737
johnnys-tonic,Sativa,0.0011311561795613
crystal-coma,Sativa,0.0217513056577121
candyland,Sativa,0.1735993665525394
loud-dream,Hybrid,0.005658539815318
supernova,Hybrid,0.0036886727123745
acdc,Hybrid,0.0791064417964967
og-shark,Hybrid,0.0303618872099343
red-congolese,Sativa,0.0216326722047337
rockstar-master-kush,Indica,0.0004772927294246
head-cheese,Hybrid,0.0094575692281376
nordle,Indica,0.0030348092622378
superstar,Hybrid,0.0011146026744946
blackwater,Indica,0.0498895053536794
xxx-og,Indica,0.1378741437009774
donna-og,Hybrid,0.0014456727758296
cherry-kola,Indica,0.0068393565100797
mossimo-og,Indica,0.0003917662865797
paris-og,Indica,0.0303867174675344
snow-monster,Indica,0.0088257771180899
alpha-og,Hybrid,0.0044859998730897
guava-chem,Hybrid,0.0021850626688112
redding-og,Hybrid,0.0
nexus-og,Indica,0.0
cherry-limeade,Hybrid,0.0135462849796253
original-glue,Hybrid,1.0
strawberry-banana,Hybrid,0.1814981473868912
berry-noir,Indica,0.0
big-sky-og,Hybrid,0.0010732189118277
og-eddy-lepp,Indica,0.002532686275213
red-eye-og,Indica,0.0029272114793039
guava-kush,Hybrid,0.0324752180234563
kimbo-kush,Hybrid,0.0391076557202016
white-fire-og,Hybrid,0.1574459045249006
chem-scout,Indica,0.0060171990917643
kushashima,Hybrid,0.0
