,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
58,0.82,0.568,6,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,audio_features,2Yl4OmDby9iitgNWZPwxkd,spotify:track:2Yl4OmDby9iitgNWZPwxkd,https://api.spotify.com/v1/tracks/2Yl4OmDby9iitgNWZPwxkd,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd,210787,4
59,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4
60,0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,audio_features,0dIoGTQXDh1wVnhIiSyYEa,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/tracks/0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/audio-analysis/0dIoGTQXDh1wVnhIiSyYEa,224285,4
61,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547,4
62,0.745,0.346,1,-7.709,1,0.331,0.00552,0.0,0.0881,0.112,203.911,audio_features,0ZNrc4kNeQYD9koZ3KvCsy,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,https://api.spotify.com/v1/tracks/0ZNrc4kNeQYD9koZ3KvCsy,https://api.spotify.com/v1/audio-analysis/0ZNrc4kNeQYD9koZ3KvCsy,237240,4
63,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,audio_features,3Du2K5dLzmduCNp6uwuaL0,spotify:track:3Du2K5dLzmduCNp6uwuaL0,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,203760,4
64,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,audio_features,6wmAHw1szh5RCKSRjiXhPe,spotify:track:6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,200853,4
65,0.622,0.571,0,-5.338,0,0.0493,0.0458,0.0,0.122,0.635,81.059,audio_features,6TFO7bRauf2CEXh9qy2QcY,spotify:track:6TFO7bRauf2CEXh9qy2QcY,https://api.spotify.com/v1/tracks/6TFO7bRauf2CEXh9qy2QcY,https://api.spotify.com/v1/audio-analysis/6TFO7bRauf2CEXh9qy2QcY,225013,4
66,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,audio_features,5Z3GHaZ6ec9bsiI5BenrbY,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,202547,4
67,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4
68,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,audio_features,2FY7b99s15jUprqC0M5NCT,spotify:track:2FY7b99s15jUprqC0M5NCT,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,189467,4
69,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,audio_features,2ZxTjs4EdJl4Y9YByIiNoo,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,https://api.spotify.com/v1/tracks/2ZxTjs4EdJl4Y9YByIiNoo,https://api.spotify.com/v1/audio-analysis/2ZxTjs4EdJl4Y9YByIiNoo,196800,3
70,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
71,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,audio_features,1XRgIKC5TPwo7nWGyKqgG0,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/tracks/1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/audio-analysis/1XRgIKC5TPwo7nWGyKqgG0,233087,4
72,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,audio_features,5WvAo7DNuPRmk4APhdPzi8,spotify:track:5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8,260000,5
73,0.791,0.839,11,-4.284,1,0.266,0.0588,6.26e-05,0.259,0.383,170.113,audio_features,2YzmfPLqUx5CJOaw5ThsBV,spotify:track:2YzmfPLqUx5CJOaw5ThsBV,https://api.spotify.com/v1/tracks/2YzmfPLqUx5CJOaw5ThsBV,https://api.spotify.com/v1/audio-analysis/2YzmfPLqUx5CJOaw5ThsBV,202636,4
74,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,audio_features,5WoaF1B5XIEnWfmb5NZikf,spotify:track:5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf,259333,4
75,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,audio_features,0OWZFobGSIW9GrSlQ9C5pc,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,205453,4
76,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800,4
77,0.449,0.599,1,-4.892,1,0.0369,0.211,0.0,0.327,0.165,134.144,audio_features,4MPTj8lMMvxLwT3EwuXFop,spotify:track:4MPTj8lMMvxLwT3EwuXFop,https://api.spotify.com/v1/tracks/4MPTj8lMMvxLwT3EwuXFop,https://api.spotify.com/v1/audio-analysis/4MPTj8lMMvxLwT3EwuXFop,228373,3
78,0.566,0.724,1,-4.574,1,0.323,0.00102,0.0,0.158,0.407,81.774,audio_features,1eLSF6HfrRA0AsNmTkUlKx,spotify:track:1eLSF6HfrRA0AsNmTkUlKx,https://api.spotify.com/v1/tracks/1eLSF6HfrRA0AsNmTkUlKx,https://api.spotify.com/v1/audio-analysis/1eLSF6HfrRA0AsNmTkUlKx,225267,4
79,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
80,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,audio_features,3V8UKqhEK5zBkBb6d6ub8i,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,https://api.spotify.com/v1/tracks/3V8UKqhEK5zBkBb6d6ub8i,https://api.spotify.com/v1/audio-analysis/3V8UKqhEK5zBkBb6d6ub8i,417920,4
81,0.375,0.889,3,-3.704,1,0.0991,0.0848,0.0,0.136,0.881,199.669,audio_features,1co0puPTYvqAdUEjFOjne9,spotify:track:1co0puPTYvqAdUEjFOjne9,https://api.spotify.com/v1/tracks/1co0puPTYvqAdUEjFOjne9,https://api.spotify.com/v1/audio-analysis/1co0puPTYvqAdUEjFOjne9,185200,4
